"CU_NUMBER","CycleDate","JoinNumber","CU_NAME","TradeNamesId","TradeName"
15467,6/30/2019 0:00:00,8028,"KELLY COMMUNITY",479,"Retirement & Investment Services"
15732,6/30/2019 0:00:00,8181,"UNIFY FINANCIAL",140,"Western"
15732,6/30/2019 0:00:00,8181,"UNIFY FINANCIAL",501,"Unify Financial Credit Union"
15732,6/30/2019 0:00:00,8181,"UNIFY FINANCIAL",502,"Unify Financial"
15732,6/30/2019 0:00:00,8181,"UNIFY FINANCIAL",503,"Unify"
15790,6/30/2019 0:00:00,8215,"DELAWARE ALLIANCE",451,"AllyFed"
15802,6/30/2019 0:00:00,8223,"HUDSON VALLEY",181,"HVFCU"
16046,6/30/2019 0:00:00,8363,"GEORGETOWN",636,"Georgetown Federal Credit Union"
16178,6/30/2019 0:00:00,8446,"WATERFRONT",498,"Waterfront Credit Union"
16213,6/30/2019 0:00:00,8468,"FINANCIAL BUILDERS",669,"Financial Builders"
16473,6/30/2019 0:00:00,8625,"CTA - C AND M",649,"C&M FEDERAL CREDIT UNION"
16473,6/30/2019 0:00:00,8625,"CTA - C AND M",673,"CTA C&M FCU"
17012,6/30/2019 0:00:00,8924,"PROFED",204,"PROFED"
17017,6/30/2019 0:00:00,8928,"COCA-COLA",465,"Coca-Cola Credit Union"
17372,6/30/2019 0:00:00,9136,"LOCKPORT SCHOOLS",308,"New York Credit Union Assoc."
17389,6/30/2019 0:00:00,9147,"ALLEGIUS",365,"Allegius"
17587,6/30/2019 0:00:00,9266,"USALLIANCE",453,"USALLIANCE Financial"
17587,6/30/2019 0:00:00,9266,"USALLIANCE",672,"USA Specialty Lending"
18175,6/30/2019 0:00:00,9571,"HENRICO",429,"Bellwood Credit Union"
