cert,docket,fed_rssd,rssdhcr,name,city,stalp,zip,repdte,rundate,bkclass,address,namehcr,offdom,offfor,stmult,specgrp,subchaps,county,cbsa_metro,cbsa_metro_name,estymd,insdate,effdate,mutual,parcert,trust,regagnt,insagnt1,fdicdbs,fdicsupv,fldoff,fed,occdist,otsregnm,offoa,cb,inst.webaddr,igltrad,iglrtex,iglfxex,igledex,iglcmex,IGLCREX
"28362","1441","83375","3632756","Century Bank","Santa Fe","NM","87501","6/30/2019","11/18/2019","NM","100 South Federal Place","CENTURY FINANCIAL SERVICES CORPORATION","9","0","0","4","1","Santa Fe","42140","Santa Fe, NM","1/1/1910","3/14/1952","12/14/2018","Stock","0","1","FDIC","DIF","Dallas","DALLAS","Albuquerque","Kansas City","Western","West","0","1","","","","","","",""
"14051","0","305648","1205491","Century Bank","Shenandoah","IA","51601","6/30/2019","11/18/2019","NM","116 South Blossom Street","CNB CORP","1","0","0","2","0","Page","","","3/12/1934","3/12/1934","12/11/2013","Stock","0","1","FDIC","DIF","Kansas City","KANSAS CITY","Omaha","Chicago","Western","Western","0","1","","","","","","",""
"11448","11294","58636","2468275","Century Bank","Lucedale","MS","39452","6/30/2019","11/18/2019","NM","4282 Main Street","BANCORP OF LUCEDALE, INC.","10","0","1","4","0","George","","","6/1/1903","1/1/1934","6/8/2015","Stock","0","0","FDIC","DIF","Dallas","DALLAS","Jackson Ms","Atlanta","Southern","West","0","1","","","","","","",""
"5015","9914","694847","1491856","Century Bank and Trust","Coldwater","MI","49036","6/30/2019","11/18/2019","NM","100 West Chicago Street","CENTURY FINANCIAL CORPORATION","11","0","0","4","0","Branch","","","1/1/1909","1/1/1934","8/9/2013","Stock","0","1","FDIC","DIF","Chicago","CHICAGO","Grand Rapids","Chicago","Central","Central","0","1","","","","","","",""
"147","0","944337","2043850","Century Bank and Trust","Milledgeville","GA","31061","6/30/2019","11/18/2019","NM","141 South Wayne Street","CENTURY BANCORP, INC.","2","0","0","4","0","Baldwin","","","1/1/1898","1/1/1934","1/29/2013","Stock","0","1","FDIC","DIF","Atlanta","ATLANTA","Savannah","Atlanta","Southern","Southeast","0","1","","","","","","",""
"19943","12351","377908","1111088","Century Bank and Trust Company","Somerville","MA","2145","6/30/2019","11/18/2019","NM","102 Fellsway West","CENTURY BANCORP, INC.","28","0","0","5","0","Middlesex","14460","Boston-Cambridge-Newton, MA-NH","5/1/1969","5/1/1969","5/11/2010","Stock","0","1","FDIC","DIF","New York","NEW YORK","North Boston","Boston","Northeastern","Northeast","0","1","www.centurybank.com","0","","","","",""
"35558","0","2939001","3492790","Century Bank of Florida","Tampa","FL","33612","6/30/2019","11/18/2019","SM","716 West Fletcher Avenue","CENTURY BANCSHARES OF FLORIDA, INC.","1","0","0","4","1","Hillsborough","45300","Tampa-St. Petersburg-Clearwater, FL","9/11/2000","9/11/2000","3/31/2006","Stock","0","0","FED","DIF","Atlanta","ATLANTA","Tampa","Atlanta","Southern","Southeast","0","1","","","","","","",""
"35236","0","2921211","3236640","Century Bank of Georgia","Cartersville","GA","30120","6/30/2019","11/18/2019","NM","215 East Main Street","CBB BANCORP","3","0","0","4","0","Bartow","12060","Atlanta-Sandy Springs-Roswell, GA","6/29/2000","6/29/2000","11/10/2011","Stock","0","0","FDIC","DIF","Atlanta","ATLANTA","Atlanta","Atlanta","Southern","Southeast","0","1","","","","","","",""
"35450","0","2920287","3097458","Century Bank of Kentucky, Inc.","Lawrenceburg","KY","40342","6/30/2019","11/18/2019","NM","201 West Woodford Street","CENTURY BANCSHARES, INC.","2","0","0","4","1","Anderson","","","7/5/2000","7/5/2000","2/10/2014","Stock","0","0","FDIC","DIF","Chicago","CHICAGO","Lexington","St. louis","Central","Southeast","0","1","","","","","","",""
"8296","14022","904359","1095469","Century Bank of the Ozarks","Gainesville","MO","65655","6/30/2019","11/18/2019","SM","42 Court Square","CENTURY BANCSHARES, INC.","4","0","0","2","0","Ozark","","","7/24/1894","1/1/1934","6/3/2010","Stock","0","0","FED","DIF","Kansas City","KANSAS CITY","Springfield Mo","St. louis","Western","West","0","1","","","","","","",""
"29700","3912","345877","4211831","Century Next Bank","Ruston","LA","71270","6/30/2019","11/18/2019","SA","505 North Vienna Street","CENTURY NEXT FINANCIAL CORPORATION","7","0","1","4","0","Lincoln","","","1/1/1905","9/14/1935","1/15/2019","Stock","0","0","OCC","DIF","Dallas","DALLAS","Shreveport","Dallas","Southern","Western","0","1","","","","","","",""
